# pt      central
   0.0000 0.0000e+00
   0.2020 2.5146e+06
   0.4040 4.8830e+06
   0.6061 7.1146e+06
   0.8081 9.1825e+06
   1.0101 1.1055e+07
   1.2121 1.2713e+07
   1.4141 1.4147e+07
   1.6162 1.5357e+07
   1.8182 1.6352e+07
   2.0202 1.7139e+07
   2.2222 1.7732e+07
   2.4242 1.8145e+07
   2.6263 1.8394e+07
   2.8283 1.8492e+07
   3.0303 1.8456e+07
   3.2323 1.8302e+07
   3.4343 1.8045e+07
   3.6364 1.7701e+07
   3.8384 1.7284e+07
   4.0404 1.6805e+07
   4.2424 1.6279e+07
   4.4444 1.5716e+07
   4.6465 1.5126e+07
   4.8485 1.4520e+07
   5.0505 1.3905e+07
   5.2525 1.3288e+07
   5.4545 1.2676e+07
   5.6566 1.2072e+07
   5.8586 1.1482e+07
   6.0606 1.0907e+07
   6.2626 1.0352e+07
   6.4646 9.8156e+06
   6.6667 9.3008e+06
   6.8687 8.8079e+06
   7.0707 8.3372e+06
   7.2727 7.8888e+06
   7.4747 7.4626e+06
   7.6768 7.0582e+06
   7.8788 6.6751e+06
   8.0808 6.3125e+06
   8.2828 5.9696e+06
   8.4848 5.6458e+06
   8.6869 5.3400e+06
   8.8889 5.0516e+06
   9.0909 4.7796e+06
   9.2929 4.5232e+06
   9.4949 4.2815e+06
   9.6970 4.0539e+06
   9.8990 3.8394e+06
  10.1010 3.6374e+06
  10.3030 3.4470e+06
  10.5051 3.2676e+06
  10.7071 3.0987e+06
  10.9091 2.9394e+06
  11.1111 2.7894e+06
  11.3131 2.6480e+06
  11.5152 2.5148e+06
  11.7172 2.3892e+06
  11.9192 2.2707e+06
  12.1212 2.1588e+06
  12.3232 2.0531e+06
  12.5253 1.9533e+06
  12.7273 1.8589e+06
  12.9293 1.7698e+06
  13.1313 1.6856e+06
  13.3333 1.6059e+06
  13.5354 1.5306e+06
  13.7374 1.4593e+06
  13.9394 1.3920e+06
  14.1414 1.3282e+06
  14.3434 1.2678e+06
  14.5455 1.2107e+06
  14.7475 1.1565e+06
  14.9495 1.1050e+06
  15.1515 1.0562e+06
  15.3535 1.0099e+06
  15.5556 9.6593e+05
  15.7576 9.2416e+05
  15.9596 8.8446e+05
  16.1616 8.4674e+05
  16.3636 8.1089e+05
  16.5657 7.7679e+05
  16.7677 7.4436e+05
  16.9697 7.1350e+05
  17.1717 6.8414e+05
  17.3737 6.5618e+05
  17.5758 6.2956e+05
  17.7778 6.0421e+05
  17.9798 5.8005e+05
  18.1818 5.5700e+05
  18.3838 5.3502e+05
  18.5859 5.1405e+05
  18.7879 4.9404e+05
  18.9899 4.7492e+05
  19.1919 4.5667e+05
  19.3939 4.3924e+05
  19.5960 4.2258e+05
  19.7980 4.0665e+05
  20.0000 3.9142e+05
